dataset,seed,instance_id,tw_proxy,backend,runtime_s,model_count,semantic_pass
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,enum_frumpy,0.05280737509019673,16,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,enum_rewrite_frumpy,0.05246666702441871,16,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_002,21,comp_trendy_proxy,0.06528645800426602,16,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_frumpy,0.0534951250301674,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,enum_rewrite_frumpy,0.06927204201929271,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_000,31,comp_trendy_proxy,0.05104370799381286,12,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,enum_frumpy,0.05953237495850772,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,enum_rewrite_frumpy,0.05289258307311684,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_001,13,comp_trendy_proxy,0.05279562505893409,17,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_frumpy,0.05279149999842048,13,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,enum_rewrite_frumpy,0.06998925004154444,13,1
mnist_sum_k_v1,9,mnist_sum_k_v1_9_002,33,comp_trendy_proxy,0.053017000085674226,13,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_frumpy,0.05137895909138024,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,enum_rewrite_frumpy,0.05433583294507116,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_000,28,comp_trendy_proxy,0.05259616591501981,15,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_frumpy,0.052361875073984265,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,enum_rewrite_frumpy,0.0747034999076277,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_001,50,comp_trendy_proxy,0.05264358303975314,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_frumpy,0.053994957939721644,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,enum_rewrite_frumpy,0.07378862507175654,10,1
mnist_sum_k_v1,11,mnist_sum_k_v1_11_002,34,comp_trendy_proxy,0.052404458983801305,10,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,enum_frumpy,0.06100266601424664,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,enum_rewrite_frumpy,0.053530125063844025,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_000,5,comp_trendy_proxy,0.07124170800670981,18,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,enum_frumpy,0.0525714170653373,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,enum_rewrite_frumpy,0.06669462495483458,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_001,20,comp_trendy_proxy,0.08934120798949152,12,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_frumpy,0.052427457994781435,13,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,enum_rewrite_frumpy,0.05217150098178536,13,1
sudoku_4x4_v1,3,sudoku_4x4_v1_3_002,26,comp_trendy_proxy,0.05201745801605284,13,1
sudoku_4x4_v1,5,sudoku_4x4_v1_5_000,48,enum_frumpy,0.053523208014667034,14,1
